company_name;ticker;ticker_company
ALLIAR;AALR3;AALR3-ALLIAR
APPLE;AAPL34;AAPL34-APPLE
ABC BRASIL;ABCB4;ABCB4-ABC BRASIL
AMBEV S-A;ABEV3;ABEV3-AMBEV S-A
ADVANCED-DH;ADHM3;ADHM3-ADVANCED-DH
AFLUENTE T;AFLT3;AFLT3-AFLUENTE T
BRASILAGRO;AGRO3;AGRO3-BRASILAGRO
ALPARGATAS;ALPA3;ALPA3-ALPARGATAS
ALPARGATAS;ALPA4;ALPA4-ALPARGATAS
ALIANSCSONAE;ALSO3;ALSO3-ALIANSCSONAE
ALUPAR;ALUP3;ALUP3-ALUPAR
ALUPAR;ALUP4;ALUP4-ALUPAR
ALUPAR;ALUP11;ALUP11-ALUPAR
LOJAS MARISA;AMAR3;AMAR3-LOJAS MARISA
AMAZON;AMZO34;AMZO34-AMAZON
ANIMA;ANIM3;ANIM3-ANIMA
ALPER S.A.;APER3;APER3-ALPER S.A.
AREZZO CO;ARZZ3;ARZZ3-AREZZO CO
ATOMPAR;ATOM3;ATOM3-ATOMPAR
ATT INC;ATTB34;ATTB34-ATT INC
AZUL;AZUL4;AZUL4-AZUL
B3;B3SA3;B3SA3-B3
ALIBABAGR;BABA34;BABA34-ALIBABAGR
BAHEMA;BAHI3;BAHI3-BAHEMA
EXCELSIOR;BAUH4;BAUH4-EXCELSIOR
AMAZONIA;BAZA3;BAZA3-AMAZONIA
BRASIL;BBAS3;BBAS3-BRASIL
BRADESCO;BBDC3;BBDC3-BRADESCO
BRADESCO;BBDC4;BBDC4-BRADESCO
BR BROKERS;BBRK3;BBRK3-BR BROKERS
BBSEGURIDADE;BBSE3;BBSE3-BBSEGURIDADE
SANTANDER;BCSA34;BCSA34-SANTANDER
MINERVA;BEEF3;BEEF3-MINERVA
BANESTES;BEES3;BEES3-BANESTES
BANESTES;BEES4;BEES4-BANESTES
BERKSHIRE;BERK34;BERK34-BERKSHIRE
BANESE;BGIP4;BGIP4-BANESE
BANCO INTER;BIDI3;BIDI3-BANCO INTER
BANCO INTER;BIDI4;BIDI4-BANCO INTER
BANCO INTER;BIDI11;BIDI11-BANCO INTER
BIOMM;BIOM3;BIOM3-BIOMM
BK BRASIL;BKBR3;BKBR3-BK BRASIL
MERC BRASIL;BMEB3;BMEB3-MERC BRASIL
MERC BRASIL;BMEB4;BMEB4-MERC BRASIL
BANCO BMG;BMGB4;BMGB4-BANCO BMG
BIC MONARK;BMKS3;BMKS3-BIC MONARK
NORD BRASIL;BNBR3;BNBR3-NORD BRASIL
BANK AMERICA;BOAC34;BOAC34-BANK AMERICA
BOMBRIL;BOBR4;BOBR4-BOMBRIL
BTGP BANCO;BPAC3;BPAC3-BTGP BANCO
BTGP BANCO;BPAC5;BPAC5-BTGP BANCO
BTGP BANCO;BPAC11;BPAC11-BTGP BANCO
BANCO PAN;BPAN4;BPAN4-BANCO PAN
BRADESPAR;BRAP3;BRAP3-BRADESPAR
BRADESPAR;BRAP4;BRAP4-BRADESPAR
PETROBRAS BR;BRDT3;BRDT3-PETROBRAS BR
BRF SA;BRFS3;BRFS3-BRF SA
ALFA CONSORC;BRGE3;BRGE3-ALFA CONSORC
ALFA CONSORC;BRGE5;BRGE5-ALFA CONSORC
ALFA CONSORC;BRGE8;BRGE8-ALFA CONSORC
ALFA CONSORC;BRGE11;BRGE11-ALFA CONSORC
ALFA CONSORC;BRGE12;BRGE12-ALFA CONSORC
ALFA INVEST;BRIV3;BRIV3-ALFA INVEST
ALFA INVEST;BRIV4;BRIV4-ALFA INVEST
BRASKEM;BRKM3;BRKM3-BRASKEM
BRASKEM;BRKM5;BRKM5-BRASKEM
BR MALLS PAR;BRML3;BRML3-BR MALLS PAR
BR PROPERT;BRPR3;BRPR3-BR PROPERT
BANRISUL;BRSR3;BRSR3-BANRISUL
BANRISUL;BRSR6;BRSR6-BANRISUL
BIOSEV;BSEV3;BSEV3-BIOSEV
B2W DIGITAL;BTOW3;BTOW3-B2W DIGITAL
